species,V1,V2,V3
Hypsiscopus murphi,-0.111677152,-0.044609331,-0.044137135
Hypsiscopus murphi,-0.138707279,0.003384822,-0.007431755
Hypsiscopus murphi,-0.058552677,-0.040087499,-0.028263876
Hypsiscopus plumbea,0.389401061,0.041624642,0.097486028
Hypsiscopus plumbea,-0.276117376,0.028230934,-0.059764467
Hypsiscopus murphi,0.119317923,-0.049475066,0.060558663
Hypsiscopus murphi,0.022366761,-0.028546059,0.013808863
Hypsiscopus murphi,-0.018625243,-0.01922714,-0.002802716
Hypsiscopus murphi,0.054514104,-0.055537109,-0.01779712
Hypsiscopus murphi,0.004434266,-0.024758318,0.018571752
Hypsiscopus murphi,-0.030813855,-0.074208397,-0.030209248
Hypsiscopus murphi,-0.283838837,-0.059910328,-0.082789208
Hypsiscopus murphi,0.056847221,-0.069902977,-0.025409147
Hypsiscopus murphi,-0.216466079,-0.039482,-0.039316669
Hypsiscopus murphi,-0.079703764,0.002236551,0.00541522
Hypsiscopus murphi,0.026687415,-0.03270859,0.004304993
Hypsiscopus murphi,-0.139675321,-0.007189983,0.051552937
Hypsiscopus murphi,0.122008645,-0.149956568,-0.021517792
Hypsiscopus murphi,0.169359613,-0.097347822,-0.014283259
Hypsiscopus murphi,-0.095337007,-0.003265988,0.044422778
Hypsiscopus murphi,-0.04866334,-0.062930994,-0.006213139
Hypsiscopus murphi,0.02239864,-0.038872459,0.009379029
Hypsiscopus murphi,-0.069647299,-0.010182822,0.062561528
Hypsiscopus murphi,0.15521365,-0.081629377,0.005253098
Hypsiscopus murphi,0.040390553,-0.050763046,0.003550053
Hypsiscopus murphi,-0.122526676,0.004859146,0.059882216
Hypsiscopus murphi,-0.029253142,0.005237975,0.056275246
Hypsiscopus murphi,0.038358601,-0.035988775,0.039984878
Hypsiscopus murphi,-0.291646404,-0.010441082,0.060352312
Hypsiscopus plumbea,0.020983868,0.003820215,0.014997131
Hypsiscopus plumbea,-0.074837054,0.028024643,0.042887521
Hypsiscopus murphi,-0.134305011,0.02015032,0.036998458
Hypsiscopus plumbea,0.215103346,0.005251582,0.062199919
Hypsiscopus plumbea,0.158014086,0.01269406,0.056506541
Hypsiscopus plumbea,0.211400687,0.027753198,-0.000232015
Hypsiscopus murphi,0.007973201,-0.02348859,0.061350054
Hypsiscopus murphi,0.047462848,0.031786039,-0.013035879
Hypsiscopus murphi,0.005706007,0.027952339,-0.003621817
Hypsiscopus murphi,-0.144001953,0.054633141,0.014352992
Hypsiscopus plumbea,-0.062587197,0.095869923,-0.018230646
Hypsiscopus plumbea,0.098058057,0.10311503,0.008736073
Hypsiscopus plumbea,-0.150678971,0.152534239,0.011901883
Hypsiscopus plumbea,0.200975519,0.08637387,-0.030384294
Hypsiscopus plumbea,0.06298404,0.08899657,-0.013524353
Hypsiscopus murphi,-0.080979633,0.014588782,-0.06706599
Hypsiscopus murphi,-0.106297085,0.014994748,-0.048860428
Hypsiscopus plumbea,0.263441122,0.022105499,-0.138151778
Hypsiscopus murphi,-0.229604735,0.039635442,0.030683323
Hypsiscopus murphi,-0.046893901,0.02662639,-0.044010824
Hypsiscopus murphi,0.151950502,0.005805755,-0.084347913
Hypsiscopus plumbea,0.190003213,0.074282555,-0.066059353
Hypsiscopus plumbea,0.037729371,0.067019604,-0.038501035
Hypsiscopus murphi,0.141262897,0.02421224,-0.025904889
Hypsiscopus plumbea,0.007089771,-0.003289934,0.037893258
