species,V1,V2
Hypsiscopus murphi,-0.111677152,-0.044609331
Hypsiscopus murphi,-0.138707279,0.003384822
Hypsiscopus murphi,-0.058552677,-0.040087499
Hypsiscopus plumbea,0.389401061,0.041624642
Hypsiscopus plumbea,-0.276117376,0.028230934
Hypsiscopus murphi,0.119317923,-0.049475066
Hypsiscopus murphi,0.022366761,-0.028546059
Hypsiscopus murphi,-0.018625243,-0.01922714
Hypsiscopus murphi,0.054514104,-0.055537109
Hypsiscopus murphi,0.004434266,-0.024758318
Hypsiscopus murphi,-0.030813855,-0.074208397
Hypsiscopus murphi,-0.283838837,-0.059910328
Hypsiscopus murphi,0.056847221,-0.069902977
Hypsiscopus murphi,-0.216466079,-0.039482
Hypsiscopus murphi,-0.079703764,0.002236551
Hypsiscopus murphi,0.026687415,-0.03270859
Hypsiscopus murphi,-0.139675321,-0.007189983
Hypsiscopus murphi,0.122008645,-0.149956568
Hypsiscopus murphi,0.169359613,-0.097347822
Hypsiscopus murphi,-0.095337007,-0.003265988
Hypsiscopus murphi,-0.04866334,-0.062930994
Hypsiscopus murphi,0.02239864,-0.038872459
Hypsiscopus murphi,-0.069647299,-0.010182822
Hypsiscopus murphi,0.15521365,-0.081629377
Hypsiscopus murphi,0.040390553,-0.050763046
Hypsiscopus murphi,-0.122526676,0.004859146
Hypsiscopus murphi,-0.029253142,0.005237975
Hypsiscopus murphi,0.038358601,-0.035988775
Hypsiscopus murphi,-0.291646404,-0.010441082
Hypsiscopus plumbea,0.020983868,0.003820215
Hypsiscopus plumbea,-0.074837054,0.028024643
Hypsiscopus murphi,-0.134305011,0.02015032
Hypsiscopus plumbea,0.215103346,0.005251582
Hypsiscopus plumbea,0.158014086,0.01269406
Hypsiscopus plumbea,0.211400687,0.027753198
Hypsiscopus murphi,0.007973201,-0.02348859
Hypsiscopus murphi,0.047462848,0.031786039
Hypsiscopus murphi,0.005706007,0.027952339
Hypsiscopus murphi,-0.144001953,0.054633141
Hypsiscopus plumbea,-0.062587197,0.095869923
Hypsiscopus plumbea,0.098058057,0.10311503
Hypsiscopus plumbea,-0.150678971,0.152534239
Hypsiscopus plumbea,0.200975519,0.08637387
Hypsiscopus plumbea,0.06298404,0.08899657
Hypsiscopus murphi,-0.080979633,0.014588782
Hypsiscopus murphi,-0.106297085,0.014994748
Hypsiscopus plumbea,0.263441122,0.022105499
Hypsiscopus murphi,-0.229604735,0.039635442
Hypsiscopus murphi,-0.046893901,0.02662639
Hypsiscopus murphi,0.151950502,0.005805755
Hypsiscopus plumbea,0.190003213,0.074282555
Hypsiscopus plumbea,0.037729371,0.067019604
Hypsiscopus murphi,0.141262897,0.02421224
Hypsiscopus plumbea,0.007089771,-0.003289934
